date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:28:08	47663/47663	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Jun%202023%2014:28:07%20GMT	https://nicolearcherpsyd.com/	/home/darcher/websites/nicolearcherpsyd.com/nicolearcherpsyd.com/index.html	(from )
10:28:08	131/131	---M-Z	200	added ('OK')	text/plain	date:Tue,%2020%20Jun%202023%2014:28:07%20GMT	https://nicolearcherpsyd.com/robots.txt		(from )
10:28:08	75558/75558	---M-Z	200	added ('OK')	text/css	date:Thu,%2008%20Oct%202020%2019:26:51%20GMT	https://nicolearcherpsyd.com/wp-content/themes/bubbles/style.css?ver=e58d3420b997e9b883d3bcf348fa8f79	/home/darcher/websites/nicolearcherpsyd.com/nicolearcherpsyd.com/wp-content/themes/bubbles/stylebec5.css	(from https://nicolearcherpsyd.com/)
10:28:09	88932/88932	---M-Z	200	added ('OK')	text/css	date:Tue,%2016%20Aug%202022%2017:32:45%20GMT	https://nicolearcherpsyd.com/wp-includes/css/dist/block-library/style.min.css?ver=e58d3420b997e9b883d3bcf348fa8f79	/home/darcher/websites/nicolearcherpsyd.com/nicolearcherpsyd.com/wp-includes/css/dist/block-library/style.minbec5.css	(from https://nicolearcherpsyd.com/)
10:28:10	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2020%20Jun%202023%2014:28:10%20GMT	http://v0.wordpress.com/	/home/darcher/websites/nicolearcherpsyd.com/v0.wordpress.com/index.html	(from https://nicolearcherpsyd.com/)
10:28:10	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2020%20Jun%202023%2014:28:10%20GMT	http://s.w.org/	/home/darcher/websites/nicolearcherpsyd.com/s.w.org/index.html	(from https://nicolearcherpsyd.com/)
10:28:10	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2020%20Jun%202023%2014:28:10%20GMT	http://widgets.wp.com/	/home/darcher/websites/nicolearcherpsyd.com/widgets.wp.com/index.html	(from https://nicolearcherpsyd.com/)
10:28:11	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2020%20Jun%202023%2014:28:11%20GMT	http://s0.wp.com/	/home/darcher/websites/nicolearcherpsyd.com/s0.wp.com/index.html	(from https://nicolearcherpsyd.com/)
10:28:11	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2020%20Jun%202023%2014:28:11%20GMT	http://0.gravatar.com/	/home/darcher/websites/nicolearcherpsyd.com/0.gravatar.com/index.html	(from https://nicolearcherpsyd.com/)
10:28:12	11256/11256	---M-Z	200	added ('OK')	text/css	date:Wed,%2016%20Dec%202020%2017:31:06%20GMT	https://nicolearcherpsyd.com/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.16	/home/darcher/websites/nicolearcherpsyd.com/nicolearcherpsyd.com/wp-includes/js/mediaelement/mediaelementplayer-legacy.min08e1.css	(from https://nicolearcherpsyd.com/)
10:28:12	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2020%20Jun%202023%2014:28:12%20GMT	http://1.gravatar.com/	/home/darcher/websites/nicolearcherpsyd.com/1.gravatar.com/index.html	(from https://nicolearcherpsyd.com/)
10:28:12	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2020%20Jun%202023%2014:28:12%20GMT	http://2.gravatar.com/	/home/darcher/websites/nicolearcherpsyd.com/2.gravatar.com/index.html	(from https://nicolearcherpsyd.com/)
10:28:12	84401/84401	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Jun%202023%2014:28:10%20GMT	http://secure.gravatar.com/	/home/darcher/websites/nicolearcherpsyd.com/secure.gravatar.com/index.html	(from https://nicolearcherpsyd.com/)
10:28:13	4186/4186	---M-Z	200	added ('OK')	text/css	date:Mon,%2018%20Nov%202019%2013:36:57%20GMT	https://nicolearcherpsyd.com/wp-includes/js/mediaelement/wp-mediaelement.min.css?ver=e58d3420b997e9b883d3bcf348fa8f79	/home/darcher/websites/nicolearcherpsyd.com/nicolearcherpsyd.com/wp-includes/js/mediaelement/wp-mediaelement.minbec5.css	(from https://nicolearcherpsyd.com/)
10:28:14	49/49	---MC-	400	error ('Bad%20Request')	text/html	date:Tue,%2020%20Jun%202023%2014:28:14%20GMT	http://i0.wp.com/	/home/darcher/websites/nicolearcherpsyd.com/i0.wp.com/index.html	(from https://nicolearcherpsyd.com/)
10:28:14	42777/42777	---MCZ	200	added ('OK')	application/rss+xml	etag:%22ba12c2f090b79a5aacbc696560222baf%22	https://nicolearcherpsyd.com/feed/	/home/darcher/websites/nicolearcherpsyd.com/nicolearcherpsyd.com/feed/index.html	(from https://nicolearcherpsyd.com/)
10:28:14	22141/22141	---M-Z	200	added ('OK')	text/css	date:Fri,%2010%20Feb%202017%2017:44:12%20GMT	https://nicolearcherpsyd.com/wp-content/plugins/tmls_testimonials/css/testimonials.css?ver=e58d3420b997e9b883d3bcf348fa8f79	/home/darcher/websites/nicolearcherpsyd.com/nicolearcherpsyd.com/wp-content/plugins/tmls_testimonials/css/testimonialsbec5.css	(from https://nicolearcherpsyd.com/)
